ID,Language,Subscription_Type,Subscription_Event_Type,Purchase_Store,Purchase_Amount,Currency,Subscription_Start_Date,Subscription_Expiration,Demo_User,Free_Trial_User,Free_Trial_Start_Date,Free_Trial_Expiration,Auto_Renew,Country,User_Type,Lead_Platform,Email_Subscriber,Push_Notifications,Send_Count,Open_Count,Click_Count,Unique_Open_Count,Unique_Click_Count,Currency_Ex_Rate,Purchase_Amount_in_USD,Subscription_Length,  USD_per_day  ,,
17875,ESP,Limited,INITIAL_PURCHASE,Web,358,USD,12/3/19,1/6/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,1,0,0,0,0,1,$358.00,34, $10.53 ,,
10642,DEU,Limited,INITIAL_PURCHASE,Web,199.5,EUR,11/3/19,12/4/19,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$220.40,31, $7.11 ,,
11186,TGL,Limited,INITIAL_PURCHASE,Web,187.95,USD,11/13/19,12/14/19,No,Yes,11/13/19,11/16/19,No,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0,1,$187.95,31, $6.06 ,,
17111,POR,Limited,INITIAL_PURCHASE,Web,189,EUR,11/21/19,12/26/19,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$208.80,35, $5.97 ,,
33254,ESC,Limited,INITIAL_PURCHASE,Web,179,GBP,10/14/19,11/28/19,No,No,NULL,NULL,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.786705,$227.53,45, $5.06 ,,
11427,ESP,Limited,RENEWAL,App,299,USD,3/20/20,5/20/20,No,No,NULL,NULL,Yes,US/Canada,Consumer,Web,Yes,Yes,5,0,0,0,0,1,$299.00,61, $4.90 ,,
33522,ENG,Limited,INITIAL_PURCHASE,Web,143.76,USD,11/29/19,12/29/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,3,2,0,1,0,1,$143.76,30, $4.79 ,,
35742,ESP,Limited,INITIAL_PURCHASE,Web,156.16,USD,10/11/19,11/13/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,3,1,0,1,0,1,$156.16,33, $4.73 ,,
5545,TUR,Limited,INITIAL_PURCHASE,Web,124.5,USD,11/22/19,12/22/19,No,Yes,11/22/19,11/25/19,Yes,Other,Consumer,Web,Yes,Yes,NULL,NULL,NULL,NULL,NULL,1,$124.50,30, $4.15 ,,
36471,ESP,Limited,INITIAL_PURCHASE,Web,124.5,USD,10/8/19,11/8/19,Yes,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,1,$124.50,31, $4.02 ,,
28214,FRA,Limited,INITIAL_PURCHASE,Web,130.39,USD,11/21/19,12/25/19,No,No,NULL,NULL,No,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,1,$130.39,34, $3.84 ,,
22912,DEU,Limited,INITIAL_PURCHASE,Web,189,USD,10/8/19,12/1/19,No,Yes,10/8/19,10/11/19,No,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0,1,$189.00,54, $3.50 ,,
35265,ENG,Limited,INITIAL_PURCHASE,Web,199,USD,11/26/19,1/24/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,1,$199.00,59, $3.37 ,,
22057,ESP,Limited,INITIAL_PURCHASE,Web,132.5,USD,11/10/19,12/21/19,No,Yes,11/10/19,11/13/19,No,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,1,$132.50,41, $3.23 ,,
21316,ESP,Limited,INITIAL_PURCHASE,Web,99,USD,10/29/19,11/29/19,No,No,NULL,NULL,No,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,1,$99.00,31, $3.19 ,,
31687,ARA,Limited,INITIAL_PURCHASE,Web,149,GBP,10/13/19,12/12/19,No,Yes,10/13/19,10/16/19,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.786705,$189.40,60, $3.16 ,,
1028,ESP,Limited,INITIAL_PURCHASE,Web,119.88,USD,8/4/19,9/11/19,No,No,NULL,NULL,No,Other,Consumer,Web,No,Yes,2,2,0,1,0,1,$119.88,38, $3.15 ,,
38900,ESP,Limited,INITIAL_PURCHASE,Web,99,USD,6/29/19,8/1/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,1,$99.00,33, $3.00 ,,
39398,ESP,Limited,INITIAL_PURCHASE,Web,128.14,USD,9/30/19,11/13/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,3,0,0,0,0,1,$128.14,44, $2.91 ,,
24618,DEU,Limited,INITIAL_PURCHASE,Web,179,GBP,8/16/19,11/6/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.786705,$227.53,82, $2.77 ,,
20846,ARA,Limited,INITIAL_PURCHASE,Web,189,USD,10/6/19,12/16/19,No,Yes,10/6/19,10/9/19,No,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0,1,$189.00,71, $2.66 ,,
36949,ENG,Limited,INITIAL_PURCHASE,Web,119.76,USD,11/1/19,12/18/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,2,0,0,0,0,1,$119.76,47, $2.55 ,,
17510,ESP,Limited,INITIAL_PURCHASE,Web,99,USD,11/8/19,12/17/19,No,Yes,11/8/19,11/11/19,No,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0,1,$99.00,39, $2.54 ,,
27901,FRA,Limited,INITIAL_PURCHASE,Web,69,GBP,12/5/19,1/11/20,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,0.786705,$87.71,37, $2.37 ,,
2873,DEU,Limited,INITIAL_PURCHASE,Web,206.01,USD,12/30/19,3/27/20,Yes,No,NULL,NULL,No,US/Canada,Consumer,App,Yes,Yes,17,11,7,4,2,1,$206.01,88, $2.34 ,,
22070,KOR,Limited,INITIAL_PURCHASE,Web,75.05,USD,10/30/19,12/2/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,NULL,NULL,NULL,NULL,NULL,1,$75.05,33, $2.27 ,,
9406,EBR,Limited,INITIAL_PURCHASE,Web,99,EUR,10/4/19,11/22/19,No,Yes,10/4/19,10/7/19,No,Europe,Consumer,Web,No,Yes,NULL,NULL,NULL,NULL,NULL,0.905187,$109.37,49, $2.23 ,,
28864,ENG,Limited,INITIAL_PURCHASE,Web,88,USD,9/27/19,11/6/19,No,No,NULL,NULL,No,Other,Other,Unknown,No,No,2,0,0,0,0,1,$88.00,40, $2.20 ,,
